freq	dB(S(1,2))
2.00000000000000000E9	-3.70510000000000028E1
2.00199999999999978E9	-3.70510000000000028E1
2.00400000000000000E9	-3.70510000000000028E1
2.00599999999999978E9	-3.70510000000000028E1
2.00800000000000001E9	-3.70510000000000028E1
2.01000000000000023E9	-3.70510000000000028E1
2.01199999999999957E9	-3.70510000000000028E1
2.01400000000000023E9	-3.70510000000000028E1
2.01600000000000001E9	-3.70510000000000028E1
2.01799999999999979E9	-3.70510000000000028E1
2.02000000000000002E9	-3.70510000000000028E1
2.02199999999999980E9	-3.70510000000000028E1
2.02400000000000002E9	-3.70510000000000028E1
2.02599999999999980E9	-3.70510000000000028E1
2.02800000000000002E9	-3.70510000000000028E1
2.03000000000000025E9	-3.70510000000000028E1
2.03200000000000003E9	-3.70510000000000028E1
2.03399999999999981E9	-3.70510000000000028E1
2.03600000000000003E9	-3.70510000000000028E1
2.03800000000000026E9	-3.70510000000000028E1
2.04000000000000004E9	-3.70510000000000028E1
2.04199999999999982E9	-3.70510000000000028E1
2.04400000000000004E9	-3.70510000000000028E1
2.04600000000000026E9	-3.70510000000000028E1
2.04800000000000004E9	-3.70510000000000028E1
2.04999999999999982E9	-3.70510000000000028E1
2.05200000000000005E9	-3.70510000000000028E1
2.05399999999999983E9	-3.70510000000000028E1
2.05600000000000005E9	-3.70510000000000028E1
2.05800000000000027E9	-3.70510000000000028E1
2.06000000000000005E9	-3.70510000000000028E1
2.06199999999999983E9	-3.70510000000000028E1
2.06400000000000006E9	-3.70510000000000028E1
2.06599999999999984E9	-3.70510000000000028E1
2.06800000000000006E9	-3.70510000000000028E1
2.06999999999999984E9	-3.70510000000000028E1
2.07200000000000006E9	-3.70510000000000028E1
2.07400000000000029E9	-3.70510000000000028E1
2.07599999999999962E9	-3.70510000000000028E1
2.07800000000000029E9	-3.70510000000000028E1
2.08000000000000007E9	-3.70510000000000028E1
2.08199999999999985E9	-3.70510000000000028E1
2.08400000000000007E9	-3.70510000000000028E1
2.08599999999999985E9	-3.70510000000000028E1
2.08800000000000008E9	-3.70510000000000028E1
2.08999999999999986E9	-3.70510000000000028E1
2.09199999999999964E9	-3.70510000000000028E1
2.09400000000000031E9	-3.70510000000000028E1
2.09600000000000009E9	-3.70510000000000028E1
2.09799999999999986E9	-3.70510000000000028E1
2.10000000000000009E9	-3.70510000000000028E1
2.10199999999999987E9	-3.70510000000000028E1
2.10400000000000009E9	-3.70510000000000028E1
2.10599999999999987E9	-3.70510000000000028E1
2.10800000000000010E9	-3.70510000000000028E1
2.11000000000000032E9	-3.70510000000000028E1
2.11199999999999966E9	-3.70510000000000028E1
2.11399999999999988E9	-3.70510000000000028E1
2.11600000000000010E9	-3.70510000000000028E1
2.11799999999999988E9	-3.70510000000000028E1
2.12000000000000011E9	-3.70510000000000028E1
2.12199999999999989E9	-3.70510000000000028E1
2.12400000000000011E9	-3.70510000000000028E1
